,year,month,day,hour,Title_sentiment,Comment_sentiment,return,senti
0,2020,12,18,1,0.0,0.0,,0.0
2,2020,12,18,2,0.1357,0.0,,0.1357
6,2020,12,18,3,0.0,0.1531,,0.1531
7,2020,12,18,4,0.0,0.20382142857142857,,0.20382142857142857
21,2020,12,18,5,0.0,0.004574999999999996,,0.004574999999999996
25,2020,12,18,6,0.0,-0.126,0.0,-0.126
27,2020,12,18,7,0.0,0.4484,-0.004029550033579632,0.4484
29,2020,12,18,8,0.0,0.0,-0.0020107238605897577,0.0
30,2020,12,18,9,0.1531,0.0,-0.02547354670150237,0.1531
31,2020,12,18,10,0.0,0.4404,-0.03831658291457285,0.4404
32,2020,12,18,11,0.0,0.3444,0.01015228426395942,0.3444
36,2020,12,18,12,0.0,0.0,-0.01005025125628145,0.0
37,2020,12,18,13,0.7059,0.0,-0.009334163036714416,0.7059
38,2020,12,18,14,0.1806,0.0,0.017732742241925337,0.1806
40,2020,12,18,15,0.0,0.0,0.010236724248240405,0.0
41,2020,12,18,16,-0.21620000000000003,0.09933846153846151,-0.007619047619047525,-0.11686153846153852
80,2020,12,18,17,-0.28963333333333335,0.213875,-0.005053695514845247,-0.07575833333333334
92,2020,12,18,18,0.2611499999999992,0.12366041666666666,0.004441624365482344,0.3848104166666659
188,2020,12,18,19,0.0,0.04974545454545453,0.0,0.04974545454545453
232,2020,12,18,20,0.0,0.12213846153846156,0.05066666666666664,0.12213846153846156
271,2020,12,18,21,0.6141500000000019,0.12713023255813957,,0.7412802325581415
357,2020,12,18,22,0.0,-0.013104545454545457,,-0.013104545454545457
379,2020,12,18,23,0.7573499999999999,-0.001722727272727266,,0.7556272727272726
423,2020,12,19,0,0.0,-0.02639999999999999,,-0.02639999999999999
503,2020,12,19,1,0.0,0.028441860465116275,,0.028441860465116275
546,2020,12,19,2,0.0,0.1436939393939394,,0.1436939393939394
612,2020,12,19,3,0.0,0.03816538461538463,,0.03816538461538463
638,2020,12,19,4,0.0,0.20725333333333332,,0.20725333333333332
653,2020,12,19,5,0.0,0.07319583333333333,,0.07319583333333333
677,2020,12,19,6,0.0,0.14699374999999998,,0.14699374999999998
693,2020,12,19,7,0.0,0.16883076923076923,,0.16883076923076923
706,2020,12,19,8,0.0,0.18536,,0.18536
721,2020,12,19,9,0.0,-0.11915,,-0.11915
729,2020,12,19,10,0.25,-0.135575,,0.114425
